male ID,kinship,mold,eggs returned,eggs after 1 day,eggs eaten after 1 day,proportion eaten after 1 day,TFC,mean temperature,days between clutches,length female 1,length female 2,male length,male weight
3,own,no,170,38,132,0.78,no,13.29,6,35,,35,391
3,own,yes,220,31,189,0.86,no,13.29,6,35,,35,391
6,own,no,543,513,30,0.06,no,13.95,3,34,33,31,248
6,own,yes,641,545,96,0.15,no,13.95,3,34,33,31,248
7,foreign,no,164,98,66,0.4,no,13.34,5,37,,36,417
7,foreign,yes,168,74,94,0.56,no,13.34,5,37,,36,417
16,foreign,no,304,83,221,0.73,no,13.11,3,34,35,34,365
16,foreign,yes,476,76,400,0.84,no,13.11,3,34,35,34,365
19,own,no,142,,,,yes,13.17,6,35,,33,312
19,own,yes,178,,,,yes,13.17,6,35,,33,312
20,foreign,no,196,58,138,0.7,no,13.2,4,39,38,38,490
20,foreign,yes,264,158,106,0.4,no,13.2,4,39,38,38,490
21,own,no,329,282,47,0.14,no,13.61,3,34,35,33,281
21,own,yes,412,372,40,0.1,no,13.61,3,34,35,33,281
25,own,no,632,623,9,0.01,no,14.18,3,35,35,33,323
25,own,yes,581,463,118,0.2,no,14.18,3,35,35,33,323
28,own,no,112,71,41,0.37,no,13.11,3,38,37,38,438
28,own,yes,192,73,119,0.62,no,13.11,3,38,37,38,438
32,own,no,260,56,204,0.78,no,13.46,5,35,36,34,350
32,own,yes,226,61,165,0.73,no,13.46,5,35,36,34,350
34,own,no,570,538,32,0.06,no,14.15,3,38,41,37,412
34,own,yes,402,151,251,0.62,no,14.15,3,38,41,37,412
35,foreign,no,221,85,136,0.62,no,13.72,5,37,,36,365
35,foreign,yes,227,26,201,0.89,no,13.72,5,37,,36,365
36,foreign,no,368,294,74,0.2,no,13.44,3,37,39,36,446
36,foreign,yes,321,133,188,0.59,no,13.44,3,37,39,36,446
37,own,no,273,252,21,0.08,no,13.71,4,36,,35,353
37,own,yes,307,187,120,0.39,no,13.71,4,36,,35,353
41,own,no,141,31,110,0.78,no,13.73,4,38,,34,321
41,own,yes,125,27,98,0.78,no,13.73,4,38,,34,321
42,foreign,no,443,425,18,0.04,no,14.25,3,34,35,33,348
42,foreign,yes,462,348,114,0.25,no,14.25,3,34,35,33,348
44,own,no,275,254,21,0.08,no,14.45,4,36,38,35,386
44,own,yes,269,189,80,0.3,no,14.45,4,36,38,35,386
45,foreign,no,489,469,20,0.04,no,14.34,4,34,35,33,310
45,foreign,yes,415,170,245,0.59,no,14.34,4,34,35,33,310
49,own,no,186,118,68,0.37,no,13.69,3,36,35,33,314
49,own,yes,389,8,381,0.98,no,13.69,3,36,35,33,314
50,own,no,251,230,21,0.08,no,14.45,4,34,,31,272
50,own,yes,325,168,157,0.48,no,14.45,4,34,,31,272
51,foreign,no,182,83,99,0.54,no,13.73,5,36,,34,408
51,foreign,yes,156,18,138,0.88,no,13.73,5,36,,34,408
54,foreign,no,181,120,61,0.34,no,13.72,5,33,,29,233
54,foreign,yes,152,55,97,0.64,no,13.72,5,33,,29,233
