Section,Agar Media,Media additive,Inside or Outside,Exposure duration (min),"# Mold looking colonies 
(Hyphae)",# Bacteria looking colonies,Total Colony counts
A01,NA,CHX,inside,1,0,3,3
A01,SDA,Amp,inside,1,1,0,1
A01,NA,CHX,inside,1,0,6,6
A01,SDA,Amp,inside,1,0,0,0
A01,NA,CHX,Outside,10,0,45,45
A01,NA,CHX,Outside,10,0,60,60
A01,SDA,AMP,Outside,10,61,34,95
A01,SDA,AMP,Outside,10,17,51,68
A01,NA,CHX,Inside,10,0,7,7
A01,NA,CHX,Inside,10,0,5,5
A01,SDA,Amp,Inside,10,2,0,2
A01,SDA,Amp,Inside,10,0,0,0
A01,NA,CHX,Outside,1,0,9,9
A01,NA,CHX,Outside,1,0,14,14
A01,SDA,AMP,Outside,1,9,5,14
A01,SDA,AMP,Outside,1,3,7,10
A01,NA,CHX,Inside,30,0,14,14
A01,NA,CHX,Inside,30,0,9,9
A01,SDA,Amp,Inside,30,0,1,1
A01,SDA,AMP,Inside,30,1,0,1
A01,NA,CHX,Outside,30,0,45,45
A01,NA,CHX,Outside,30,0,43,43
A01,SDA,AMP,Outside,30,12,17,29
A01,SDA,AMP,Outside,30,28,12,40
A02,NA,cyc,inside,1,0,1,1
A02,NA,cyc,inside,1,0,0,0
A02,NA,cyc,inside,10,0,8,8
A02,NA,cyc,inside,10,3,6,9
A02,NA,cyc,inside,30,0,11,11
A02,NA,cyc,inside,30,0,21,21
A02,NA,cyc,outside,1,0,1,1
A02,NA,cyc,outside,1,0,1,0
A02,NA,cyc,outside,10,0,47,47
A02,NA,cyc,outside,10,0,32,32
A02,NA,cyc,outside,30,0,167,167
A02,NA,cyc,outside,30,0,143,143
A02,SDA,amp,inside,1,0,0,0
A02,SDA,amp,inside,1,0,0,0
A02,SDA,amp,inside,10,0,0,0
A02,SDA,amp,inside,10,0,0,0
A02,SDA,amp,inside,30,0,3,3
A02,SDA,amp,inside,30,0,6,6
A02,SDA,amp,outside,1,0,1,1
A02,SDA,amp,outside,1,0,0,1
A02,SDA,amp,outside,10,22,2,24
A02,SDA,amp,outside,10,60,8,68
A02,SDA,amp,outside,30,0,158,158
A02,SDA,amp,outside,30,0,174,174
A04,NA,cyc,Inside,1,0,0,0
A04,NA,cyc,inside,1,0,0,0
A04,NA,cyc,Inside,10,0,7,7
A04,NA,cyc,inside,10,0,6,6
A04,NA,cyc,inside,30,0,12,12
A04,NA,cyc,inside,30,0,4,4
A04,NA,cyc,outside,1,0,3,3
A04,NA,cyc,outside,1,0,3,3
A04,NA,cyc,outside,10,0,11,11
A04,NA,cyc,outside,10,0,9,9
A04,NA,cyc,outside,30,0,55,55
A04,NA,cyc,outside,30,0,95,95
A04,SDA,amp,inside,1,0,0,0
A04,SDA,amp,inside,1,0,0,0
A04,SDA,amp,inside,10,3,0,3
A04,SDA,amp,inside,10,1,0,1
A04,SDA,amp,Inside,30,0,9,9
A04,SDA,amp,inside,30,1,2,3
A04,SDA,amp,outside,1,2,1,3
A04,SDA,amp,outside,1,2,1,3
A04,SDA,amp,outside,10,4,17,21
A04,SDA,amp,outside,10,6,13,19
A04,SDA,amp,outside,30,53,0,53
A04,SDA,amp,outside,30,52,0,52
