Section,Media (NA or SDA),"Media additive (none, cyc, or amp)",Inside or Outside,Exposure duration (min),Days of incubation,# Mold-looking colonies (have hyphae) ,"# Non-mold-looking colonies (e.g., no hyphae) ",Total # colonies,Group Name,Notes
A01,NA,cyc,inside,1,2,0,0,0,Micro Alliance,Placed on lab bench and all people stayed about 3ft away from plates during the one minute. 
A01,NA,cyc,inside,1,2,0,0,0,Micro Alliance,Was also left in the middle of wworking area for one minute at 10:50. No colonies were found. Probably due to low foot traffic.
A01,NA,cyc,outside,1,2,4,121,125,Micro Gang,
A01,NA,cyc,outside,1,2,0,146,146,Micro Gang,We had to freeze our for two days after initial incubation
A01,NA,cyc,inside,10,2,0,0,0,Fun-Guys,"we put our plates on the edge of a blacktop table in the Katherine Esau lab room; for one NA and SDA plate, someone hovered their sleeves over them for a brief while"
A01,NA,cyc,inside,10,2,0,9,9,Fun-Guys,"we put our plates on the edge of a blacktop table in the Katherine Esau lab room; for one NA and SDA plate, someone hovered their sleeves over them for a brief while"
A01,NA,cyc,outside,10,2,8,52,60,Agar Avengers,
A01,NA,cyc,outside,10,2,0,63,63,Agar Avengers,
A01,NA,cyc,inside,30,2,0,21,21,5,There were people passing by the door frequently 
A01,NA,cyc,inside,30,2,0,19,19,5,Plate left by door with heavy foot traffic in & out of the room. 10:50PM-11:20PM.
A01,NA,cyc,outside,30,2,5,104,109,Amoeba Sisters,"Plates left under bush in shade; surrounded by plants and gravel. Other plates in same container had ants but not our plates. slight breeze, 83 F; started at 10:51 am; a little bit away from foot traffic"
A01,NA,cyc,outside,30,2,4,78,82,Amoeba Sisters,"Plates had ants crawling in them, left under a bush in the shade, slight breeze (83 degrees F), away from main entrances or exits."
A01,SDA,ampicillin,inside,1,2,0,0,0,Micro Alliance,Plate was left indoors with minimal air passing through. Was left in the middle of working area for one minute at 10:50. 
A01,SDA,ampicillin,inside,1,2,0,0,0,Micro Alliance,"Stood about 3ft away from plates, did not walk around plates much"
A01,SDA,ampicillin,outside,1,2,0,104,104,Micro Gang,
A01,SDA,ampicillin,outside,1,2,129,23,152,Micro Gang,We had to freeze our for two days after initial incubation
A01,SDA,ampicillin,inside,10,2,0,5,5,Fun-Guys,"we put our plates on the edge of a blacktop table in the Katherine Esau lab room; for one NA and SDA plate, someone hovered their sleeves over them for a brief while"
A01,SDA,ampicillin,inside,10,2,1,0,1,Fun-Guys,"we put our plates on the edge of a blacktop table in the Katherine Esau lab room; for one NA and SDA plate, someone hovered their sleeves over them for a brief while"
A01,SDA,ampicillin,outside,10,2,38,2,40,Agar Avengers,Left outside on the floor near a flowerbed and below a handrail in 38c weather. 
A01,SDA,ampicillin,outside,10,2,46,3,49,Agar Avengers,
A01,SDA,ampicillin,inside,30,2,2,2,4,5,There were people passing by the door frequently 
A01,SDA,ampicillin,inside,30,2,2,0,2,5,Plate left by door with heavy foot traffic in & out of the room. 10:50PM-11:20PM.
